zipcode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
15101,6.723,14.096,16.277,10.239,12.809,11.935,11.766,12.892,18.652,11.473,6.897,14.112,16.077,21.696,5.328,13.726,1.782,12.627,12.52,16.12,10.814,14.181,13.616,5.821,4.354,6.475,9.809,5.948,7.457,6.597,9.168,10.629,13.048,6.307,3.212,16.807,16.929,18.026,9.128,12.184,8.802,17.149,16.687,16.813,12.899,8.84,9.914
15102,14.278,3.671,0.524,6.386,4.602,7.418,5.032,5.386,8.244,14.155,22.421,10.372,13.329,10.756,15.851,16.482,18.321,25.779,4.15,10.866,10.604,15.98,3.439,18.794,13.702,12.38,15.118,11.154,22.82,11.32,9.362,18.843,18.366,17.003,13.357,8.984,7.654,3.025,20.211,8.415,10.04,4.662,1.847,13.604,9.305,11.45,12.132
15104,14.303,6.77,10.553,8.15,6.092,12.318,6.593,11.301,7.604,17.284,14.976,2.338,4.856,10.299,7.959,6.117,13.025,16.452,8.841,4.345,14.188,20.067,9.978,16.764,11.957,12.346,5.102,10.063,19.232,5.36,3.375,8.811,20.881,8.498,9.647,5.363,16.06,9.796,10.836,2.023,11.964,7.813,11.83,19.997,1.521,2.959,2.379
15106,8.512,6.53,5.564,3.34,6.068,1.41,4.959,0.714,12.918,8.149,18.929,12.479,15.69,15.901,13.449,17.203,14.076,23.496,2.953,13.802,4.56,10.22,2.726,13.256,8.591,6.849,14.556,6.371,17.541,9.196,8.608,17.873,12.361,14.819,9.22,12.663,5.149,8.839,18.358,9.704,4.247,9.598,5.172,8.855,10.945,10.733,11.955
15108,4.6,14.898,14.271,10.27,14.079,7.364,12.724,9.397,21.275,0.686,17.868,19.434,22.442,24.378,15.481,22.314,12.514,23.925,11.397,21.156,4.197,2.885,11.471,8.087,7.284,5.682,18.724,7.832,12.421,13.135,14.256,20.949,3.62,16.819,9.939,20.559,9.892,17.589,20.144,16.615,5.747,18.186,13.634,6.267,17.833,15.686,17.114
15110,16.294,6.786,10.496,9.424,6.526,13.496,7.421,12.202,5.682,18.962,17.12,0.107,3.321,8.133,10.167,6.508,15.318,18.131,9.603,2.065,15.694,21.664,10.573,18.975,14.065,14.281,6.784,12.023,21.52,7.597,5.37,10.274,22.712,10.593,11.858,3.305,16.714,8.98,12.607,2.75,13.613,6.76,11.884,21.194,1.508,5.252,4.508
15112,15.874,7.978,11.762,9.781,7.467,13.943,8.111,12.865,7.483,18.933,15.517,1.772,3.279,9.816,8.681,4.914,14.08,16.328,10.356,3.442,15.845,21.721,11.447,18.145,13.464,13.944,5.01,11.658,20.396,6.769,5.001,8.463,22.501,8.975,11.055,5.091,17.567,10.586,10.826,3.344,13.618,8.433,13.097,21.632,2.289,4.162,3.081
15116,5.984,12.229,14.381,8.348,10.944,10.238,9.879,11.082,16.96,10.588,8.468,12.666,14.861,20.044,5.087,13.021,3.665,13.749,10.628,14.674,9.429,13.418,11.736,6.55,3.257,5.201,9.119,4.224,9.016,5.024,7.514,10.602,12.733,6.344,1.327,15.203,15.264,16.149,9.61,10.558,7.247,15.324,14.805,15.627,11.362,7.492,8.703
15120,13.365,4.721,8.49,6.404,4.015,10.525,4.598,9.364,6.827,15.907,15.927,3.156,6.295,9.841,8.866,8.195,13.298,18.028,6.841,4.911,12.641,18.606,7.94,16.346,11.274,11.32,6.867,9.094,19.233,5.261,2.706,10.62,19.684,9.662,9.299,4.99,14.053,7.978,12.383,0.352,10.558,6.192,9.754,18.228,1.552,3.717,3.9
15122,15.156,4.366,8.053,7.58,4.253,11.479,5.329,10.025,4.723,17.338,17.929,2.545,5.634,7.74,10.862,8.798,15.406,19.683,7.398,3.535,13.924,19.93,8.272,18.35,13.209,13.079,8.336,10.917,21.322,7.368,4.797,12.029,21.253,11.564,11.352,2.967,14.388,6.7,14.059,1.796,12.029,4.608,9.445,19.122,1.745,5.686,5.545
15126,10.316,15.343,13.188,11.941,15.007,7.796,13.901,9.242,21.573,5.799,23.67,21.392,24.593,24.368,20.16,25.644,18.285,29.414,11.861,22.752,6.446,4.551,11.245,14.348,12.531,10.482,22.517,11.973,18.695,16.798,17.033,25.345,7.956,21.565,14.756,21.557,6.45,16.727,25.076,18.58,8.896,18.067,12.036,0.099,19.833,18.941,20.298
15129,16.399,3.75,3.299,8.102,5.033,9.977,6.065,7.955,5.738,16.726,23.14,9.045,11.667,8.021,16.267,15.433,19.512,25.846,6.149,9.072,13.131,18.672,5.856,20.691,15.465,14.402,14.729,12.879,24.5,11.917,9.581,18.478,20.938,17.268,14.68,6.947,10.394,0.262,20.206,7.775,12.275,2.368,4.541,16.388,8.344,11.403,11.769
15131,20.095,9.816,13.206,13.124,9.885,17.108,10.963,15.665,5.81,22.754,19.658,3.727,1.79,6.734,13.056,6.732,18.578,19.537,13.036,2.116,19.441,25.429,13.862,22.618,17.814,18.091,8.884,15.828,24.913,11.215,9.148,11.639,26.526,13.166,15.507,3.976,19.923,10.857,14.396,6.527,17.407,8.554,14.647,24.765,5.315,8.668,7.58
